Goal,Days,Plan,Suggestions
"Build Muscle",1,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Bench Press (4 sets, 8-12 reps, 2 min rest), Bent-over Rows (3 sets, 10-12 reps, 90 sec rest), Overhead Press (3 sets, 10-12 reps, 90 sec rest), Barbell Curls (3 sets, 12-15 reps, 60 sec rest).","Focus on form to maximize muscle activation. Use a spotter for heavy lifts like squats and bench press. Include 10 min of dynamic stretching before and static stretching after."
"Build Muscle",2,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Leg Press (3 sets, 10-12 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Leg Curls (3 sets, 12-15 reps, 90 sec rest). Day 2: Bench Press (4 sets, 8-12 reps, 2 min rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Dips (3 sets, 12-15 reps, 60 sec rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest).","Increase weight progressively each week. Consume 1.6-2.2g protein per kg body weight daily. Foam roll for 5-10 min post-workout to aid recovery."
"Build Muscle",3,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Bench Press (4 sets, 8-12 reps, 2 min rest), Bent-over Rows (3 sets, 10-12 reps, 90 sec rest), Overhead Press (3 sets, 10-12 reps, 90 sec rest), Plank (3 sets, 60 sec, 60 sec rest). Day 2: Deadlifts (4 sets, 6-10 reps, 2 min rest), Pull-ups (3 sets, 8-12 reps, 90 sec rest), Incline Dumbbell Press (3 sets, 10-12 reps, 90 sec rest), Barbell Curls (3 sets, 12-15 reps, 60 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest). Day 3: Leg Press (4 sets, 10-12 reps, 2 min rest), Dumbbell Lunges (3 sets, 12 reps per leg, 90 sec rest), Seated Cable Rows (3 sets, 10-12 reps, 90 sec rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest).","Track lifts for progressive overload. Use a spotter for heavy compounds like deadlifts. Incorporate 10 min of mobility work post-workout to prevent injury."
"Build Muscle",4,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Leg Extensions (3 sets, 12-15 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest). Day 2: Bench Press (4 sets, 8-12 reps, 2 min rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest), Dumbbell Shoulder Press (3 sets, 10-12 reps, 90 sec rest). Day 3: Deadlifts (4 sets, 6-10 reps, 2 min rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest), Hammer Curls (3 sets, 12-15 reps, 60 sec rest). Day 4: Overhead Press (4 sets, 8-12 reps, 2 min rest), Dumbbell Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Barbell Curls (3 sets, 12-15 reps, 60 sec rest), Cable Crossovers (3 sets, 12-15 reps, 90 sec rest).","Prioritize recovery with 8+ hours of sleep. Use a lifting belt for heavy squats and deadlifts. Add 5 min of core work after each session for stability."
"Build Muscle",5,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Leg Press (3 sets, 10-12 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Leg Curls (3 sets, 12-15 reps, 90 sec rest). Day 2: Bench Press (4 sets, 8-12 reps, 2 min rest), Incline Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Dips (3 sets, 12-15 reps, 60 sec rest), Cable Crossovers (3 sets, 12-15 reps, 90 sec rest). Day 3: Deadlifts (4 sets, 6-10 reps, 2 min rest), Lat Pulldowns (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest), Dumbbell Rows (3 sets, 10-12 reps, 90 sec rest). Day 4: Overhead Press (4 sets, 8-12 reps, 2 min rest), Dumbbell Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Skull Crushers (3 sets, 12-15 reps, 60 sec rest), Rear Delt Flyes (3 sets, 12-15 reps, 60 sec rest). Day 5: Barbell Rows (4 sets, 8-12 reps, 2 min rest), Pull-ups (3 sets, 8-12 reps, 90 sec rest), Hammer Curls (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 60 sec, 60 sec rest).","Track lifts to ensure progressive overload. Consume 1.6-2.2g protein per kg body weight daily. Prioritize 8-10 min of foam rolling post-workout."
"Build Muscle",6,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Leg Press (3 sets, 10-12 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest). Day 2: Bench Press (4 sets, 8-12 reps, 2 min rest), Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest), Incline Bench Press (3 sets, 10-12 reps, 90 sec rest). Day 3: Deadlifts (4 sets, 6-10 reps, 2 min rest), Pull-ups (3 sets, 8-12 reps, 90 sec rest), Seated Rows (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest). Day 4: Overhead Press (4 sets, 8-12 reps, 2 min rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Barbell Curls (3 sets, 12-15 reps, 60 sec rest), Dumbbell Shoulder Press (3 sets, 10-12 reps, 90 sec rest). Day 5: Romanian Deadlifts (4 sets, 8-12 reps, 2 min rest), Leg Curls (3 sets, 12-15 reps, 90 sec rest), Plank (3 sets, 60 sec, 60 sec rest), Leg Extensions (3 sets, 12-15 reps, 90 sec rest). Day 6: Incline Bench Press (4 sets, 8-12 reps, 2 min rest), Cable Crossovers (3 sets, 12-15 reps, 90 sec rest), Overhead Tricep Extensions (3 sets, 12-15 reps, 60 sec rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest).","Split sessions into 45 min lifting + 15 min mobility. Ensure proper warm-up sets for heavy lifts. Use a lifting belt for heavy compounds."
"Build Muscle",7,"Day 1: Squats (4 sets, 8-12 reps, 2 min rest), Leg Press (3 sets, 10-12 reps, 90 sec rest), Calf Raises (3 sets, 15-20 reps, 60 sec rest), Romanian Deadlifts (3 sets, 10-12 reps, 90 sec rest). Day 2: Bench Press (4 sets, 8-12 reps, 2 min rest), Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest), Tricep Pushdowns (3 sets, 12-15 reps, 60 sec rest), Cable Crossovers (3 sets, 12-15 reps, 90 sec rest). Day 3: Deadlifts (4 sets, 6-10 reps, 2 min rest), Pull-ups (3 sets, 8-12 reps, 90 sec rest), Seated Rows (3 sets, 10-12 reps, 90 sec rest), Face Pulls (3 sets, 12-15 reps, 60 sec rest). Day 4: Overhead Press (4 sets, 8-12 reps, 2 min rest), Lateral Raises (3 sets, 12-15 reps, 60 sec rest), Barbell Curls (3 sets, 12-15 reps, 60 sec rest), Rear Delt Flyes (3 sets, 12-15 reps, 60 sec rest). Day 5: Romanian Deadlifts (4 sets, 8-12 reps, 2 min rest), Leg Curls (3 sets, 12-15 reps, 90 sec rest), Plank (3 sets, 60 sec, 60 sec rest), Leg Extensions (3 sets, 12-15 reps, 90 sec rest). Day 6: Incline Bench Press (4 sets, 8-12 reps, 2 min rest), Cable Crossovers (3 sets, 12-15 reps, 90 sec rest), Overhead Tricep Extensions (3 sets, 12-15 reps, 60 sec rest), Dumbbell Flyes (3 sets, 10-12 reps, 90 sec rest). Day 7: T-Bar Rows (4 sets, 8-12 reps, 2 min rest), Dumbbell Rows (3 sets, 10-12 reps, 90 sec rest), Rear Delt Flyes (3 sets, 12-15 reps, 60 sec rest), Hammer Curls (3 sets, 12-15 reps, 60 sec rest).","Split sessions into 45 min lifting + 15 min mobility/core work. Ensure 1-2 rest days weekly to prevent overtraining. Use a lifting belt for heavy compounds."
"Lose Weight",1,"Day 1: Treadmill Intervals (20 min: 1 min sprint, 2 min jog, repeat), Bodyweight Squats (3 sets, 15-20 reps, 60 sec rest), Push-ups (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 45-60 sec, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest).","Maximize HIIT intensity for calorie burn. Stay hydrated during cardio. Add 5-10 min of stretching post-workout to improve flexibility."
"Lose Weight",2,"Day 1: Treadmill Intervals (20 min: 1 min sprint, 2 min jog, repeat), Bodyweight Squats (3 sets, 15-20 reps, 60 sec rest), Push-ups (3 sets, 12-15 reps, 60 sec rest), Bicycle Crunches (3 sets, 20 reps per side, 60 sec rest). Day 2: Stationary Bike HIIT (20 min: 30 sec max effort, 1 min easy, repeat), Dumbbell Lunges (3 sets, 12 reps per leg, 60 sec rest), Plank (3 sets, 45-60 sec, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest).","Maintain a 500-700 calorie deficit. Pair workouts with 5 min of low-intensity cool-down. Monitor heart rate during HIIT to stay in fat-burning zone."
"Lose Weight",3,"Day 1: Treadmill Intervals (20 min: 1 min sprint, 2 min jog, repeat), Bodyweight Squats (3 sets, 15-20 reps, 60 sec rest), Push-ups (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 45-60 sec, 60 sec rest), Bicycle Crunches (3 sets, 20 reps per side, 60 sec rest). Day 2: Stationary Bike HIIT (20 min: 30 sec max effort, 1 min easy, repeat), Dumbbell Lunges (3 sets, 12 reps per leg, 60 sec rest), Dumbbell Rows (3 sets, 12-15 reps, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest), Russian Twists (3 sets, 20 reps per side, 60 sec rest). Day 3: Jump Rope (15 min: 1 min fast, 1 min slow, repeat), Kettlebell Swings (3 sets, 15-20 reps, 60 sec rest), Incline Push-ups (3 sets, 12-15 reps, 60 sec rest), Side Plank (3 sets, 30 sec per side, 60 sec rest), Burpees (3 sets, 10-12 reps, 60 sec rest).","Maintain high intensity during HIIT for max calorie burn. Stay hydrated during cardio. Add 5-10 min of stretching post-workout to improve flexibility."
"Lose Weight",4,"Day 1: Treadmill Intervals (20 min: 1 min sprint, 2 min jog, repeat), Bodyweight Squats (3 sets, 15-20 reps, 60 sec rest), Push-ups (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 45-60 sec, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest). Day 2: Stationary Bike HIIT (20 min: 30 sec max effort, 1 min easy, repeat), Dumbbell Lunges (3 sets, 12 reps per leg, 60 sec rest), Dumbbell Rows (3 sets, 12-15 reps, 60 sec rest), Bicycle Crunches (3 sets, 20 reps per side, 60 sec rest), Burpees (3 sets, 10-12 reps, 60 sec rest). Day 3: Rowing Machine (20 min moderate pace), Kettlebell Swings (3 sets, 15-20 reps, 60 sec rest), Incline Push-ups (3 sets, 12-15 reps, 60 sec rest), Russian Twists (3 sets, 20 reps per side, 60 sec rest), Jump Squats (3 sets, 12-15 reps, 60 sec rest). Day 4: Jump Rope (15 min: 1 min fast, 1 min slow, repeat), Dumbbell Thrusters (3 sets, 12-15 reps, 60 sec rest), Side Plank (3 sets, 30 sec per side, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest), Skater Jumps (3 sets, 12 reps per side, 60 sec rest).","Track calories with an app to stay in a deficit. Include 5 min of dynamic warm-up daily. Monitor heart rate during HIIT sessions to optimize fat loss."
"Lose Weight",5,"Day 1: Treadmill Intervals (20 min: 1 min sprint, 2 min jog, repeat), Bodyweight Squats (3 sets, 15-20 reps, 60 sec rest), Push-ups (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 45-60 sec, 60 sec rest), Burpees (3 sets, 10-12 reps, 60 sec rest). Day 2: Rowing Machine (20 min moderate pace), Dumbbell Thrusters (3 sets, 12-15 reps, 60 sec rest), Dumbbell Rows (3 sets, 12-15 reps, 60 sec rest), Bicycle Crunches (3 sets, 20 reps per side, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest). Day 3: Stationary Bike HIIT (20 min: 30 sec max effort, 1 min easy, repeat), Kettlebell Swings (3 sets, 15-20 reps, 60 sec rest), Incline Push-ups (3 sets, 12-15 reps, 60 sec rest), Russian Twists (3 sets, 20 reps per side, 60 sec rest), Jump Squats (3 sets, 12-15 reps, 60 sec rest). Day 4: Elliptical (20 min moderate pace), Dumbbell Lunges (3 sets, 12 reps per leg, 60 sec rest), Side Plank (3 sets, 30 sec per side, 60 sec rest), Skater Jumps (3 sets, 12 reps per side, 60 sec rest), Burpees (3 sets, 10-12 reps, 60 sec rest). Day 5: Jump Rope (15 min: 1 min fast, 1 min slow, repeat), Bodyweight Squats (3 sets, 15-20 reps, 60 sec rest), Push-ups (3 sets, 12-15 reps, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest), Bicycle Crunches (3 sets, 20 reps per side, 60 sec rest).","Aim for a 500-700 calorie daily deficit. Pair workouts with 10 min of low-intensity cool-down (e.g., walking) to aid recovery. Monitor heart rate during HIIT."
"Lose Weight",6,"Day 1: Treadmill Intervals (20 min: 1 min sprint, 2 min jog, repeat), Bodyweight Squats (3 sets, 15-20 reps, 60 sec rest), Push-ups (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 45-60 sec, 60 sec rest), Burpees (3 sets, 10-12 reps, 60 sec rest). Day 2: Stationary Bike HIIT (20 min: 30 sec max effort, 1 min easy, repeat), Dumbbell Lunges (3 sets, 12 reps per leg, 60 sec rest), Dumbbell Rows (3 sets, 12-15 reps, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest), Russian Twists (3 sets, 20 reps per side, 60 sec rest). Day 3: Rowing Machine (20 min moderate pace), Kettlebell Swings (3 sets, 15-20 reps, 60 sec rest), Incline Push-ups (3 sets, 12-15 reps, 60 sec rest), Bicycle Crunches (3 sets, 20 reps per side, 60 sec rest), Jump Squats (3 sets, 12-15 reps, 60 sec rest). Day 4: Jump Rope (15 min: 1 min fast, 1 min slow, repeat), Dumbbell Thrusters (3 sets, 12-15 reps, 60 sec rest), Side Plank (3 sets, 30 sec per side, 60 sec rest), Skater Jumps (3 sets, 12 reps per side, 60 sec rest), Burpees (3 sets, 10-12 reps, 60 sec rest). Day 5: Elliptical (20 min moderate pace), Bodyweight Squats (3 sets, 15-20 reps, 60 sec rest), Push-ups (3 sets, 12-15 reps, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest), Bicycle Crunches (3 sets, 20 reps per side, 60 sec rest). Day 6: Treadmill Intervals (20 min: 1 min sprint, 2 min jog, repeat), Dumbbell Lunges (3 sets, 12 reps per leg, 60 sec rest), Russian Twists (3 sets, 20 reps per side, 60 sec rest), Jump Squats (3 sets, 12-15 reps, 60 sec rest), Burpees (3 sets, 10-12 reps, 60 sec rest).","Cycle intensity to avoid burnout. Track calories to maintain a deficit. Include 5 min of dynamic warm-up daily to prevent injury."
"Lose Weight",7,"Day 1: Treadmill Intervals (20 min: 1 min sprint, 2 min jog, repeat), Bodyweight Squats (3 sets, 15-20 reps, 60 sec rest), Push-ups (3 sets, 12-15 reps, 60 sec rest), Plank (3 sets, 45-60 sec, 60 sec rest), Burpees (3 sets, 10-12 reps, 60 sec rest). Day 2: Stationary Bike HIIT (20 min: 30 sec max effort, 1 min easy, repeat), Dumbbell Lunges (3 sets, 12 reps per leg, 60 sec rest), Dumbbell Rows (3 sets, 12-15 reps, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest), Russian Twists (3 sets, 20 reps per side, 60 sec rest). Day 3: Rowing Machine (20 min moderate pace), Kettlebell Swings (3 sets, 15-20 reps, 60 sec rest), Incline Push-ups (3 sets, 12-15 reps, 60 sec rest), Bicycle Crunches (3 sets, 20 reps per side, 60 sec rest), Jump Squats (3 sets, 12-15 reps, 60 sec rest). Day 4: Jump Rope (15 min: 1 min fast, 1 min slow, repeat), Dumbbell Thrusters (3 sets, 12-15 reps, 60 sec rest), Side Plank (3 sets, 30 sec per side, 60 sec rest), Skater Jumps (3 sets, 12 reps per side, 60 sec rest), Burpees (3 sets, 10-12 reps, 60 sec rest). Day 5: Elliptical (20 min moderate pace), Bodyweight Squats (3 sets, 15-20 reps, 60 sec rest), Push-ups (3 sets, 12-15 reps, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest), Bicycle Crunches (3 sets, 20 reps per side, 60 sec rest). Day 6: Treadmill Intervals (20 min: 1 min sprint, 2 min jog, repeat), Dumbbell Lunges (3 sets, 12 reps per leg, 60 sec rest), Russian Twists (3 sets, 20 reps per side, 60 sec rest), Jump Squats (3 sets, 12-15 reps, 60 sec rest), Burpees (3 sets, 10-12 reps, 60 sec rest). Day 7: Stationary Bike (20 min moderate pace), Walking Lunges (3 sets, 12 reps per leg, 60 sec rest), Side Plank (3 sets, 30 sec per side, 60 sec rest), Mountain Climbers (3 sets, 30 sec, 60 sec rest), Skater Jumps (3 sets, 12 reps per side, 60 sec rest).","Cycle intensity to avoid burnout (e.g., moderate pace on Days 3, 5, 7). Track calories with an app to stay in a deficit. Include 5 min of dynamic warm-up daily."